id;titre;type_event;date_debut;date_fin;est_active
1;up along aha;doubter;2026-04-08T17:04:22;2026-04-09T01:10:48;false
2;consign except;woot unselfish stock;2026-04-09T03:15:46;2026-04-09T06:21:06;false
3;vastly;opposite;2026-04-09T09:30:30;2026-04-08T11:59:49;false
4;than assured onto;atop oblong;2026-04-09T01:52:52;2026-04-09T00:02:49;true
5;showy;wrongly masticate;2026-04-08T18:29:56;2026-04-08T12:35:33;true
6;curry considering;versus until;2026-04-08T15:24:38;2026-04-09T08:01:00;true
7;sonata absent across;foot nice;2026-04-09T00:29:15;2026-04-09T08:12:18;true
8;wholly;epic that interestingly;2026-04-09T03:10:03;2026-04-09T02:43:14;true
9;gee but after;er pfft boo;2026-04-09T08:17:10;2026-04-09T08:01:50;true
10;probable boo pro;among draw ice-cream;2026-04-08T11:27:50;2026-04-09T00:54:38;true
11;concerning carefree gymnast;careless;2026-04-09T03:29:04;2026-04-08T16:31:09;false
12;restfully unripe respectful;greedily down except;2026-04-08T11:30:00;2026-04-08T19:14:50;true
13;aw why;snack travel;2026-04-08T12:18:38;2026-04-09T09:35:08;true
14;admonish;exactly gosh;2026-04-08T19:37:04;2026-04-08T20:13:08;false
15;huzzah amidst;whoever;2026-04-09T02:46:08;2026-04-09T04:00:04;true
16;sense hence;interior ownership;2026-04-08T16:33:35;2026-04-08T17:39:05;false
17;camouflage zany eek;woeful;2026-04-09T06:18:29;2026-04-08T23:51:41;false
18;usually;selfishly acquire travel;2026-04-09T04:25:50;2026-04-08T17:03:35;false
19;bah emotional;often;2026-04-09T00:50:19;2026-04-08T15:28:25;false
20;shrill while fellow;at;2026-04-08T14:39:45;2026-04-09T04:59:25;true
21;outlying;bah;2026-04-08T15:18:50;2026-04-09T07:21:01;true
22;aw boiling;sparse;2026-04-09T09:03:31;2026-04-09T03:44:36;false
23;inside;misjudge;2026-04-08T15:54:02;2026-04-09T01:30:56;true
24;sheepishly atop extremely;for help;2026-04-09T05:22:31;2026-04-09T10:26:36;true
25;lavish;cannon;2026-04-09T07:00:14;2026-04-08T20:07:42;false
26;brr;graffiti;2026-04-09T07:33:23;2026-04-08T13:51:33;true
27;white openly;egg;2026-04-09T02:56:24;2026-04-08T23:39:41;true
28;consequently handy;rout;2026-04-08T18:39:19;2026-04-09T02:30:46;true
29;down aha;impressive aha;2026-04-09T07:17:04;2026-04-08T21:31:55;true
30;ouch polished;hmph upwardly wherever;2026-04-08T18:33:15;2026-04-09T05:00:38;false
