id;titre;description;type_besoin;latitude;longitude;statut;date_creation;auteur_id;crise_id
1;after definite;../fake-data/blob/hipster.txt;wedding when hastily;26166.77;19179.09;RESOLUE;2026-04-08T12:31:00;1;1
2;upwardly debut;../fake-data/blob/hipster.txt;supposing resolve;1373.39;26903.05;FERMEE;2026-04-08T12:05:09;2;2
3;godfather pension yellow;../fake-data/blob/hipster.txt;however sick aw;8960.99;23976.89;FERMEE;2026-04-09T03:11:35;3;3
4;plus concentration;../fake-data/blob/hipster.txt;caring neglected unlined;11358.92;9575.82;ARCHIVEE;2026-04-08T12:12:56;4;4
5;beneath profitable gee;../fake-data/blob/hipster.txt;unless;30596.57;2419.98;FERMEE;2026-04-08T12:18:05;5;5
6;fastX;../fake-data/blob/hipster.txt;contrail;13095.4;1706.86;ARCHIVEE;2026-04-08T15:14:24;6;6
7;translation toward hoof;../fake-data/blob/hipster.txt;solidly nor;20982.14;31109.42;OUVERTE;2026-04-09T06:23:23;7;7
8;oof when;../fake-data/blob/hipster.txt;since by near;6719.77;6082.35;EN_COURS_DE_RESOLUTION;2026-04-09T02:08:00;8;8
9;irritably;../fake-data/blob/hipster.txt;egg bracelet naturally;13596.98;13786.79;FERMEE;2026-04-08T19:07:10;9;9
10;bony cow;../fake-data/blob/hipster.txt;preheat instead spring;27607.79;29520.42;FERMEE;2026-04-09T10:06:38;10;10
11;huzzah ostrich;../fake-data/blob/hipster.txt;fatally an overconfidently;7682.18;18192.36;OUVERTE;2026-04-09T10:27:52;11;11
12;terraform;../fake-data/blob/hipster.txt;tame exploration;9933.65;2264.44;OUVERTE;2026-04-08T21:38:43;12;12
13;without;../fake-data/blob/hipster.txt;sin who;29643.27;9949.47;ARCHIVEE;2026-04-09T07:48:02;13;13
14;hmXXX;../fake-data/blob/hipster.txt;toothpick or hence;17122.89;17690.99;FERMEE;2026-04-08T20:32:23;14;14
15;unlike insistent discrete;../fake-data/blob/hipster.txt;address from quintessential;22555.76;13223.81;OUVERTE;2026-04-08T11:32:13;15;15
16;recompense circa up;../fake-data/blob/hipster.txt;ready while self-confidence;27719.2;28803.19;RESOLUE;2026-04-08T16:39:01;16;16
17;drat unblinking;../fake-data/blob/hipster.txt;worth devoted absent;31619.82;13897.7;ARCHIVEE;2026-04-08T21:47:41;17;17
18;sweetly incidentally extract;../fake-data/blob/hipster.txt;where;9543.44;8278.05;FERMEE;2026-04-08T22:17:25;18;18
19;huzzah;../fake-data/blob/hipster.txt;usually;31662.48;5703.5;RESOLUE;2026-04-09T03:22:20;19;19
20;mid pocket-watch how;../fake-data/blob/hipster.txt;wholly miskey;27890.38;29136.5;EN_COURS_DE_RESOLUTION;2026-04-09T04:00:11;20;20
21;wheel;../fake-data/blob/hipster.txt;corner observe above;19607.84;32494.14;RESOLUE;2026-04-08T12:44:20;21;21
22;recovery despite duster;../fake-data/blob/hipster.txt;tasty unto;22333.65;3514.42;OUVERTE;2026-04-08T18:06:23;22;22
23;hygienic lest sudden;../fake-data/blob/hipster.txt;amidst;10910.66;23914.53;ARCHIVEE;2026-04-09T05:33:51;23;23
24;complete who;../fake-data/blob/hipster.txt;troubled upwardly;25143.85;10726.22;RESOLUE;2026-04-09T00:56:37;24;24
25;whereas phew tame;../fake-data/blob/hipster.txt;afore;14722;5419.53;RESOLUE;2026-04-09T10:42:02;25;25
26;pishX;../fake-data/blob/hipster.txt;with lonely ha;13656.92;32133.79;RESOLUE;2026-04-09T05:49:14;26;26
27;probate fidget;../fake-data/blob/hipster.txt;messy;9450.59;16322.04;RESOLUE;2026-04-08T11:39:50;27;27
28;sawXX;../fake-data/blob/hipster.txt;litter meanwhile;23346.04;11648.11;EN_COURS_DE_RESOLUTION;2026-04-09T05:00:15;28;28
29;where factorise orchid;../fake-data/blob/hipster.txt;towards joshingly;23106.38;9973.76;FERMEE;2026-04-09T04:04:28;29;29
30;generously;../fake-data/blob/hipster.txt;joyously;951.05;1732.01;FERMEE;2026-04-09T02:32:57;30;30
