id;titre;description;service_propose;latitude;longitude;statut;date_creation;auteur_id;crise_id
1;whoever ripe successfully;../fake-data/blob/hipster.txt;oddball svelte however;23493.22;15112.12;RESOLUE;2026-04-09T07:30:00;1;1
2;zowie;../fake-data/blob/hipster.txt;impressive;12037.98;25462.82;RESOLUE;2026-04-09T01:47:35;2;2
3;weekly;../fake-data/blob/hipster.txt;impassioned into;6632.42;17446.26;RESOLUE;2026-04-09T02:28:42;3;3
4;except unless meh;../fake-data/blob/hipster.txt;fiercely;5241.14;24523.31;FERMEE;2026-04-09T05:48:48;4;4
5;frankly ack;../fake-data/blob/hipster.txt;perky anenst;9882.01;2878.8;OUVERTE;2026-04-08T15:08:46;5;5
6;blah duster;../fake-data/blob/hipster.txt;pace nor;26167.39;13886.4;ARCHIVEE;2026-04-08T18:00:43;6;6
7;belabor;../fake-data/blob/hipster.txt;helpfully;22754.34;29434.79;OUVERTE;2026-04-08T11:45:38;7;7
8;beyond into lazily;../fake-data/blob/hipster.txt;rapidly beside rebuild;17382.87;30951.66;EN_COURS_DE_RESOLUTION;2026-04-08T14:24:08;8;8
9;trash;../fake-data/blob/hipster.txt;swing;26483.77;26290.42;OUVERTE;2026-04-09T04:31:46;9;9
10;sport bookend woot;../fake-data/blob/hipster.txt;despite;21891.93;31782.42;EN_COURS_DE_RESOLUTION;2026-04-08T20:21:06;10;10
11;entwine that silent;../fake-data/blob/hipster.txt;depart;27508.19;19215.69;FERMEE;2026-04-08T21:52:56;11;11
12;rally;../fake-data/blob/hipster.txt;mid;31252.31;19431.81;RESOLUE;2026-04-08T17:20:56;12;12
13;bolster indeed ick;../fake-data/blob/hipster.txt;supposing bouncy;10459.73;6067.14;OUVERTE;2026-04-08T15:57:50;13;13
14;whose;../fake-data/blob/hipster.txt;yowza respectful demonstrate;26082.73;27478.22;RESOLUE;2026-04-09T01:37:17;14;14
15;worthless scowl;../fake-data/blob/hipster.txt;huzzah blindly er;23863.46;15902.68;EN_COURS_DE_RESOLUTION;2026-04-09T07:09:04;15;15
16;giant down;../fake-data/blob/hipster.txt;whereas;1217.95;1303.95;EN_COURS_DE_RESOLUTION;2026-04-09T10:39:03;16;16
17;beside up;../fake-data/blob/hipster.txt;irritably imaginative;11109.08;3132.88;RESOLUE;2026-04-09T09:31:23;17;17
18;boo soon gnash;../fake-data/blob/hipster.txt;wordy;11810.39;6630.83;FERMEE;2026-04-08T17:56:54;18;18
19;courageously;../fake-data/blob/hipster.txt;aw;8443.22;21586.4;ARCHIVEE;2026-04-09T04:18:30;19;19
20;wafer;../fake-data/blob/hipster.txt;splurge;18148.71;6454.88;ARCHIVEE;2026-04-09T01:47:48;20;20
21;psst every generously;../fake-data/blob/hipster.txt;aha;13124.76;16989.79;OUVERTE;2026-04-08T22:55:41;21;21
22;huzzah wilderness;../fake-data/blob/hipster.txt;amid;8103.87;2596.44;RESOLUE;2026-04-09T06:39:08;22;22
23;if deer hmph;../fake-data/blob/hipster.txt;failing but;26887.51;23289.71;RESOLUE;2026-04-09T11:20:22;23;23
24;frightfully truly barge;../fake-data/blob/hipster.txt;hungrily than clinch;20725.59;2256.22;FERMEE;2026-04-09T06:44:51;24;24
25;gracefully gadzooks sympathetically;../fake-data/blob/hipster.txt;dishonor;27167.41;9825.61;ARCHIVEE;2026-04-09T04:44:16;25;25
26;against;../fake-data/blob/hipster.txt;miserly promptly;15598.3;27111.37;FERMEE;2026-04-08T22:11:23;26;26
27;far slake;../fake-data/blob/hipster.txt;gee shrilly inside;31446.59;23884.93;EN_COURS_DE_RESOLUTION;2026-04-09T03:35:00;27;27
28;fatally;../fake-data/blob/hipster.txt;advanced;12076.69;26064.48;RESOLUE;2026-04-08T11:41:47;28;28
29;pushy international;../fake-data/blob/hipster.txt;writhing when;12771.52;11371.91;EN_COURS_DE_RESOLUTION;2026-04-09T03:54:07;29;29
30;wildly fast pastel;../fake-data/blob/hipster.txt;arrange however;7265.96;20066.98;RESOLUE;2026-04-09T05:28:14;30;30
